,,0
34,7,62.413674040112504
34,8,59.280003320987085
34,9,62.24943069330888
34,10,50.326145736662305
35,1,59.52589258658202
35,2,56.3375339165007
35,3,62.20510655268181
35,4,52.58810941878088
35,5,62.404586022263565
35,6,61.666651405207055
35,7,62.530790111421595
35,8,65.6560335031244
35,9,61.78023755759989
35,10,60.03619801623574
36,1,66.77856934558064
36,2,47.32749647260548
36,3,61.25317234499651
36,4,62.09090754792063
36,5,66.11999961744023
36,6,49.23704034572052
36,7,59.629651219501554
36,8,64.96179162774511
36,9,61.199400129951094
36,10,60.80140925985653
38,4,62.39084212005374
38,6,67.45051934044233
39,1,57.75716625326309
39,2,58.37425648910218
39,3,58.57118385189077
39,4,58.44887213775655
39,5,60.20974949164273
39,6,73.4739510167092
39,7,57.425919858383786
39,8,70.91241778651279
39,9,68.45457210337696
39,10,63.955256684262736
40,1,55.61509640630535
40,2,58.52437684301666
40,3,59.39805386623538
40,4,61.47815851468843
40,5,69.77488115221847
40,6,62.902855263458896
40,7,50.444203743990684
40,8,60.92136580694388
40,9,66.69568362854335
40,10,54.69275691047586
42,10,78.98002598343456
43,2,47.86889562862099
44,1,53.98770631195795
44,2,58.16706953291216
44,3,54.28502763150792
44,4,61.354288801308705
44,5,58.912791407572364
44,6,59.64049400026813
44,7,46.188468829401764
44,8,53.14293954422652
44,9,65.65574221748629
44,10,65.3094437411321
47,2,63.90628000706846
48,1,64.35445205355305
48,2,55.516276307069944
48,3,52.25460187570128
48,4,60.93510661169781
48,5,63.63056264886379
48,6,59.711948758362624
48,7,58.09443572246198
48,8,48.27410785370709
48,9,63.88194974896255
48,10,56.98191185276212
